credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,predict.test
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0,0,0.0731261974
1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,0.0817160895
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,0.1623531328
1,all_other,0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0,0.0564885655
1,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0,0.0395058066
1,credit_card,0.1249,401.37,11.22524339,15,682,4479,43039,93.4,3,0,0,0,0.1307170657
1,all_other,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0,0.1130774354
1,all_other,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,0,0.0848898235
1,debt_consolidation,0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,1,0,0.1776529178
1,credit_card,0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,1,0,0,0.0317120208
1,home_improvement,0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,0,0.0496801111
1,small_business,0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,1,0.1499171922
1,home_improvement,0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,1,0.0986038855
1,home_improvement,0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,1,0.1665086103
1,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,1,0.2008118801
1,credit_card,0.087,63.32,11.15625052,6.07,712,2550,5967,19.8,1,0,0,0,0.0430263765
1,all_other,0.0807,297.99,11.05089001,3.49,792,5939,40384,9.2,1,0,0,0,0.0872583209
1,debt_consolidation,0.1154,329.95,12.32385568,20,727,10292,107501,44.8,2,0,0,0,0.0758716908
1,home_improvement,0.0933,239.65,11.44035477,9.66,792,4529,128000,0,3,0,0,0,0.1300030278
1,debt_consolidation,0.0712,61.87,11.6784399,0.43,772,5936,4709,18.5,0,0,0,0,0.0340598029
1,home_improvement,0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,0,0,0,0,0.0693644711
1,debt_consolidation,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,0,0.08792677
1,debt_consolidation,0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,1,0,0,0,0.0932022986
1,all_other,0.0743,117.31,11.69524702,0,772,3929.958333,0,0,1,0,0,0,0.0494861616
1,credit_card,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,0,0.0956088806
1,small_business,0.1122,217.59,10.81977828,18.38,707,3359,113,2.4,1,0,0,0,0.1438809043
1,debt_consolidation,0.1122,217.59,10.9525594,13.77,682,2160,11490,95.7,0,0,0,0,0.1148539031
1,all_other,0.1122,328.43,10.30895266,20.4,742,3270,0,0,3,0,0,0,0.1592978952
1,small_business,0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12,3,4,0,0,0.1575096204
1,all_other,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,0,0.1312750878
1,small_business,0.1091,404.62,10.75177778,16.39,692,5640,8332,39.9,2,0,0,0,0.2053547407
1,home_improvement,0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,1,0,0,0,0.1692656677
1,debt_consolidation,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79,1,0,1,0,0.1391634222
1,all_other,0.0996,96.75,11.03488966,11.98,682,1799,12640,83.2,0,0,0,0,0.1160905948
1,debt_consolidation,0.1028,155.52,10.46310334,7.51,687,2795,5836,68.7,0,0,1,0,0.1485995162
1,debt_consolidation,0.0933,790.86,11.00209984,0.82,767,2100,916,6.8,0,0,0,0,0.0987084977
1,credit_card,0.1091,294.27,11.28978191,17.17,677,3840.041667,7570,82.3,0,0,0,0,0.0755480685
1,debt_consolidation,0.1091,404.62,11.28978191,9.23,687,2519,13126,96.5,0,0,1,0,0.1637564292
1,debt_consolidation,0.0743,178.68,11.46163217,1.2,812,16259.04167,50,0.3,0,0,0,0,0.0313101658
1,small_business,0.0996,417.62,11.42954386,6.48,712,5610.041667,2598,23.8,1,0,0,0,0.1296360461
1,credit_card,0.1059,130.18,11.03488966,17.81,682,6330.041667,18168,68.5,2,0,0,0,0.074908602
1,all_other,0.1122,98.53,10.40134951,22.79,682,9389,24218,85.3,2,0,0,0,0.1696407249
1,all_other,0.0807,15.69,9.798127037,4.27,722,1470,0,0,0,0,0,0,0.0971101693
1,credit_card,0.1091,523.14,12.20607265,10.7,697,7320,72303,73.7,1,0,0,0,0.07139151
1,major_purchase,0.0743,93.23,11.1844214,11.18,757,4500.041667,12430,29.6,5,0,0,0,0.0602404387
1,debt_consolidation,0.1217,599.33,11.61045137,18.3,682,4379,18076,81.4,1,0,0,0,0.1302538136
1,debt_consolidation,0.1217,132.35,10.20359214,23.2,702,5279.041667,4504,39.2,1,0,0,1,0.1177374127
1,credit_card,0.0933,172.55,10.6454249,16.09,707,2220,38054,61.2,0,0,0,0,0.0774956525
1,debt_consolidation,0.128,335.98,10.98189713,7.51,662,4109.041667,7251,80.6,3,0,2,0,0.2860765413
1,all_other,0.1217,93.23,10.71441777,19.19,692,4440.041667,88,44,1,3,0,1,0.1331238652
1,all_other,0.0933,95.87,10.50780352,2.69,697,4680,1492,33.2,2,0,0,0,0.1105990157
1,credit_card,0.1091,586.9,11.22524339,10.34,697,2669.041667,23391,90.7,1,0,0,0,0.1152020997
1,debt_consolidation,0.1186,232.04,10.82774645,17.02,672,4380,6718,94.6,3,0,0,0,0.1487060394
1,small_business,0.1249,836.23,11.27545477,7.99,692,4739,6530,21.8,0,1,0,0,0.214441474
1,all_other,0.0775,124.89,10.08580911,6,752,2729.041667,2666,12.1,0,0,0,0,0.0981012802
1,debt_consolidation,0.1091,817.41,11.19821472,22.13,737,9900,3472,4.5,1,0,0,1,0.1030456748
1,educational,0.0933,575.17,11.00209984,9.96,732,2732.041667,6703,47.5,1,0,0,0,0.1655492479
1,debt_consolidation,0.128,167.99,10.14564911,18.65,662,1380,5061,72.3,0,1,0,0,0.1508442133
1,debt_consolidation,0.0933,281.2,10.1266311,0,712,3360.041667,0,0,0,1,0,0,0.0852770694
1,credit_card,0.1091,505.16,11.61728548,10.86,687,3420.041667,46525,93.6,0,0,0,0,0.0914347061
1,all_other,0.0933,319.54,10.50506754,19.46,727,4470.041667,827,6.6,2,0,0,1,0.1232704375
1,all_other,0.0743,87.01,10.28793329,3.96,767,3930,1773,5,1,0,0,0,0.0867440477
1,all_other,0.0775,62.45,10.08580911,2.4,742,2290.041667,949,55.8,1,0,0,1,0.1223507272
1,debt_consolidation,0.1122,656.86,10.55986701,14.04,702,1800,21777,53.7,3,0,0,0,0.1939896285
1,debt_consolidation,0.0964,320.99,10.12502982,8.17,712,3300,4475,63,0,0,0,0,0.1242883487
1,major_purchase,0.1059,292.91,10.16277015,5.56,682,1350.041667,6353,39.5,2,0,0,0,0.1138248894
1,debt_consolidation,0.0933,383.45,11.13663073,7.47,717,5580.041667,11370,41.6,0,2,0,0,0.0796851901
1,debt_consolidation,0.1154,143.53,9.998797732,24.71,707,1291.041667,5967,25.5,0,0,0,0,0.1160040531
1,credit_card,0.0807,83.92,10.59663473,16.68,737,6988,19210,48.3,0,0,0,0,0.0550914546
